"","X","subject","item","list","subexpt","integrated","related","n2num","text","animacy","maincode","dysfluency","LengthChar.Head","LengthChar.Prep","LengthChar.Adj","LengthChar.Noun","LengthPhon.Head","LengthPhon.Prep","LengthPhon.Adj","LengthPhon.Noun","LengthSylHead","LengthSyll.Prep","LengthSyll.Adj","LengthSyll.Noun","Freq1Mil.Head","FreqMil.Prep","FreqMil.Adj","FreqMil.N1","LogFr.Head","LogFreq.Prep","LogFreq.Adj","LogFreq.N1","RelatedHL","RelatedLH","Integrated","errcord","AssPercent.HL.S","AssPercent.HL.P","LNSing.HS","LNSing.HP","LNPlur.HS","LNPlurP.HP","TotalHead1","HeadToLocNSS.Match1","HeadToLocNSP.Match1","TotalHead2","HeadToLocNSS.Match2","HeadToLocNSP.Match2","TotalLocNS1","LocNS1ToHeadS","LocNS1toHeadP","TotalLocNS2","LocNS2ToHeadS","LocNS2toHeadP","TotalLocNP1","LocNP1ToHeadS","LocNP1toHeadP","TotalLocNP2","LocNP2ToHeadS","LocNP2ToHeadP","Plausibility","errnd","errd","errcornd","all.asso","local.asso","res.int","res.rel","res.asshl","res.rel2"
"1642",1642,64,3,8,"SemRel","unint","unrel","plur","The hammer by the rigid pegs","I",0,"",6,2,5,4,5,2,5,4,2,1,2,1,10.18,1212.84,1.86,0.25,1.05,3.08,0.46,0.1,5.08,4.08,4.33,15,0,0,2.5,0,0,0,20,0,0,20,0,0,20,1,0,20,0,0,20,0,0,20,0,0,4.83,1,1,13,0.833333333333333,1.25,0.0285767461895752,0.132680476817145,-0.313137073992674,0.841348014436063
"1643",1643,128,3,8,"SemRel","unint","unrel","plur","The hammer by the rigid pegs","I",1,"",6,2,5,4,5,2,5,4,2,1,2,1,10.18,1212.84,1.86,0.25,1.05,3.08,0.46,0.1,5.08,4.08,4.33,15,0,0,2.5,0,0,0,20,0,0,20,0,0,20,1,0,20,0,0,20,0,0,20,0,0,4.83,1,1,13,0.833333333333333,1.25,0.0285767461895752,0.132680476817145,-0.313137073992674,0.841348014436063
"1644",1644,208,3,8,"SemRel","unint","unrel","plur","The hammer by the rigid pegs","I",0,"",6,2,5,4,5,2,5,4,2,1,2,1,10.18,1212.84,1.86,0.25,1.05,3.08,0.46,0.1,5.08,4.08,4.33,15,0,0,2.5,0,0,0,20,0,0,20,0,0,20,1,0,20,0,0,20,0,0,20,0,0,4.83,1,1,13,0.833333333333333,1.25,0.0285767461895752,0.132680476817145,-0.313137073992674,0.841348014436063
"1645",1645,184,3,8,"SemRel","unint","unrel","plur","The hammer by the rigid pegs","I",0,"",6,2,5,4,5,2,5,4,2,1,2,1,10.18,1212.84,1.86,0.25,1.05,3.08,0.46,0.1,5.08,4.08,4.33,15,0,0,2.5,0,0,0,20,0,0,20,0,0,20,1,0,20,0,0,20,0,0,20,0,0,4.83,1,1,13,0.833333333333333,1.25,0.0285767461895752,0.132680476817145,-0.313137073992674,0.841348014436063
"1646",1646,80,3,8,"SemRel","unint","unrel","plur","The hammer by the rigid pegs","I",0,"",6,2,5,4,5,2,5,4,2,1,2,1,10.18,1212.84,1.86,0.25,1.05,3.08,0.46,0.1,5.08,4.08,4.33,15,0,0,2.5,0,0,0,20,0,0,20,0,0,20,1,0,20,0,0,20,0,0,20,0,0,4.83,1,1,13,0.833333333333333,1.25,0.0285767461895752,0.132680476817145,-0.313137073992674,0.841348014436063
"1647",1647,40,3,8,"SemRel","unint","unrel","plur","The hammer by the rigid pegs","I",0,"D",6,2,5,4,5,2,5,4,2,1,2,1,10.18,1212.84,1.86,0.25,1.05,3.08,0.46,0.1,5.08,4.08,4.33,15,0,0,2.5,0,0,0,20,0,0,20,0,0,20,1,0,20,0,0,20,0,0,20,0,0,4.83,1,1,13,0.833333333333333,1.25,0.0285767461895752,0.132680476817145,-0.313137073992674,0.841348014436063
"1648",1648,32,3,8,"SemRel","unint","unrel","plur","The hammer by the rigid pegs","I",0,"",6,2,5,4,5,2,5,4,2,1,2,1,10.18,1212.84,1.86,0.25,1.05,3.08,0.46,0.1,5.08,4.08,4.33,15,0,0,2.5,0,0,0,20,0,0,20,0,0,20,1,0,20,0,0,20,0,0,20,0,0,4.83,1,1,13,0.833333333333333,1.25,0.0285767461895752,0.132680476817145,-0.313137073992674,0.841348014436063
"1649",1649,8,3,8,"SemRel","unint","unrel","plur","The hammer by the rigid pegs","I",0,"",6,2,5,4,5,2,5,4,2,1,2,1,10.18,1212.84,1.86,0.25,1.05,3.08,0.46,0.1,5.08,4.08,4.33,15,0,0,2.5,0,0,0,20,0,0,20,0,0,20,1,0,20,0,0,20,0,0,20,0,0,4.83,1,1,13,0.833333333333333,1.25,0.0285767461895752,0.132680476817145,-0.313137073992674,0.841348014436063
"1650",1650,222,3,6,"SemRel","unint","rel","plur","The hammer by the rusty nails","I",0,"",6,2,6,5,5,2,5,5,2,1,2,1,10.18,1212.84,4.45,10.82,1.05,3.08,0.74,1.07,6.75,6.83,4.67,18,35,2.5,25,0,22.5,2.5,20,11,1,20,3,0,20,6,0,20,4,0,20,6,0,20,3,1,6.42,1,1,15,25.8333333333333,23.75,-0.590651061902436,1.44445897435217,-0.200924608532806,1.59587337287802
"1651",1651,6,3,6,"SemRel","unint","rel","plur","The hammer by the rusty nails","I",0,"D",6,2,6,5,5,2,5,5,2,1,2,1,10.18,1212.84,4.45,10.82,1.05,3.08,0.74,1.07,6.75,6.83,4.67,18,35,2.5,25,0,22.5,2.5,20,11,1,20,3,0,20,6,0,20,4,0,20,6,0,20,3,1,6.42,1,1,15,25.8333333333333,23.75,-0.590651061902436,1.44445897435217,-0.200924608532806,1.59587337287802
