"","X","item","list","subexpt","integrated","related","n2num","text","animacy","LengthChar.Head","LengthChar.Prep","LengthChar.Adj","LengthChar.Noun","LengthPhon.Head","LengthPhon.Prep","LengthPhon.Adj","LengthPhon.Noun","LengthSylHead","LengthSyll.Prep","LengthSyll.Adj","LengthSyll.Noun","Freq1Mil.Head","FreqMil.Prep","FreqMil.Adj","FreqMil.N1","LogFr.Head","LogFreq.Prep","LogFreq.Adj","LogFreq.N1","RelatedHL","RelatedLH","Integrated","Plausibility","errnd","errd","errcornd","errcord","AssPercent.HL.S","AssPercent.HL.P","LNSing.HS","LNSing.HP","LNPlur.HS","LNPlurP.HP","TotalHead1","HeadToLocNSS.Match1","HeadToLocNSP.Match1","TotalHead2","HeadToLocNSS.Match2","HeadToLocNSP.Match2","TotalLocNS1","LocNS1ToHeadS","LocNS1toHeadP","TotalLocNS2","LocNS2ToHeadS","LocNS2toHeadP","TotalLocNP1","LocNP1ToHeadS","LocNP1toHeadP","TotalLocNP2","LocNP2ToHeadS","LocNP2ToHeadP","all.asso","local.asso","res.int","res.rel","res.asshl","res.rel2"
"177",177,135,5,"Prop","unint","unrel","plur","The atlas by the detailed journals","I",5,2,8,8,5,3,6,8,2,1,2,2,0.96,1212.84,0.67,6.49,0.29,3.08,0.22,0.87,3.67,3.67,3.5,5.75,1,1,12,12,0,0,0,0,0,0,40,0,0,40,0,0,20,0,0,20,0,0,20,0,0,20,0,0,0,0,0.00846369793193213,-0.377265025809163,-0.150307197293503,-0.481606352364336
"178",178,136,3,"Prop","unint","assoc","plur","The chain by the flimsy saws","I",5,2,6,4,4,3,6,3,1,1,2,1,20,1212.84,0.75,0.35,1.32,3.08,0.24,0.13,4.08,4.25,3.75,4.69,1,1,10,13,2.5,0,0,0,0,0,40,1,0,40,1,0,20,0,0,20,0,0,20,0,0,20,0,0,1.25,1.25,0.022964655226708,-0.15811571549523,-0.169924343646421,0.266159293476421
"179",179,136,1,"Prop","unint","rel","plur","The chain by the flimsy links","I",5,2,6,5,4,3,6,5,1,1,2,1,20,1212.84,0.75,1.8,1.32,3.08,0.24,0.45,5.71,6.5,4.47,3.44,1,2,10,13,10,2.5,20,0,15,1.25,40,7,1,40,1,1,40,5,0,40,11,0,40,5,0,40,7,1,12.9166666666667,14.375,-0.193287636503818,0.685841965583106,-0.0333439081503657,0.829832506617187
"180",180,136,5,"Prop","unint","unrel","plur","The chain by the flimsy signs","I",5,2,6,5,4,3,6,5,1,1,2,1,20,1212.84,0.75,19.82,1.32,3.08,0.24,1.32,1.92,1.75,2.33,4.8,1,1,10,11,0,0,0,0,0,0,40,0,0,40,0,0,20,0,0,20,0,0,20,0,0,20,0,0,0,0,-0.156357461253086,-0.767865586510839,0.0731347111563514,-1.89384070652358
"181",181,137,4,"Prop","unint","assoc","plur","The hose near the yellow hydrants","I",4,4,6,8,3,3,4,9,1,1,2,2,7.45,59.14,31.41,0.12,0.93,1.78,1.51,0.05,4.67,5.33,5,5.44,0,0,8,8,0,0,2.5,0,0,0,40,0,0,40,0,0,20,0,0,20,1,0,20,0,0,20,0,0,0.625,1.25,0.934075788894799,-0.892270494473982,-0.0700583292968067,0.677664428530631
"182",182,137,2,"Prop","unint","rel","plur","The hose near the yellow nozzles","I",4,4,6,7,3,3,4,6,1,1,2,2,7.45,59.14,31.41,0.25,0.93,1.78,1.51,0.1,5.42,5.96,4.33,4.56,1,1,5,5,1.25,0,31.25,1.25,26.25,1.25,40,0,0,40,1,0,40,20,0,40,5,1,40,16,1,40,5,0,18.3333333333333,27.5,-0.16671514288305,0.609694991770246,-0.0969757689843087,1.42766442853063
"183",183,137,6,"Prop","unint","unrel","plur","The hose near the yellow helmets","I",4,4,6,7,3,3,4,7,1,1,2,2,7.45,59.14,31.41,2.02,0.93,1.78,1.51,0.48,1.33,2.17,3.25,4.5,0,0,13,14,0,0,0,0,0,0,40,0,0,40,0,0,20,0,0,20,0,0,20,0,0,20,0,0,0,0,1.10253140507882,-2.26818153786593,0.0498140021115351,-2.66233557146937
"184",184,138,4,"Prop","unint","assoc","plur","The table by the rebuilt patios","I",5,3,7,6,5,4,6,6,2,1,2,3,105.2,1212.84,0.14,0,2.03,3.08,0.06,0,4.17,4.58,3.5,5.44,0,1,12,14,0,0,2.5,0,0,0,40,0,0,40,0,0,20,1,0,20,0,0,20,0,0,20,0,0,0.625,1.25,-0.278730256586635,0.254313051278542,-0.136650315146709,0.307537599296009
"185",185,138,2,"Prop","unint","rel","plur","The table by the rebuilt legs","I",5,3,7,4,5,4,6,4,2,1,2,1,105.2,1212.84,0.14,55.43,2.03,3.08,0.06,1.75,5.04,5.71,4.71,4.44,1,1,11,14,5,2.5,2.5,0,0,0,40,0,0,40,4,2,40,1,0,40,1,0,40,0,0,40,0,0,3.33333333333333,5,0.43155226255106,-0.217889545783486,0.108069395191931,0.128476566048266
"186",186,138,6,"Prop","unint","unrel","plur","The table by the rusty barrels","I",5,3,5,7,5,4,5,6,2,1,2,2,105.2,1212.84,4.45,2.75,2.03,3.08,0.74,0.57,2.25,2.33,2.17,4.69,1,1,16,19,0,0,0,0,0,0,40,0,0,40,0,0,20,0,0,20,0,0,20,0,0,20,0,0,0,0,-0.505905471235341,-0.190373350297906,0.0294854965197411,-1.61246240070399
